Days since start,median_2019_no2,median_2019_pm25,median_2020_no2,median_2020_pm25,Relative NO2 Levels,Relative PM2.5 Levels
41,11.099999999999998,21.0,11.34,22.4,1.0216216216216218,1.0666666666666667
42,14.219999999999999,20.0,8.625,23.2,0.6065400843881857,1.16
43,15.040000000000001,20.2,5.15,13.8,0.34242021276595747,0.6831683168316832
44,9.64,18.0,17.15,25.6,1.7790456431535266,1.4222222222222223
45,16.34,15.0,13.84,20.4,0.847001223990208,1.3599999999999999
46,14.319999999999999,15.0,12.24,27.2,0.8547486033519555,1.8133333333333332
47,5.1,12.6,6.659999999999999,13.6,1.3058823529411765,1.0793650793650793
48,10.459999999999999,15.2,7.459999999999999,6.8,0.7131931166347992,0.4473684210526316
49,13.219999999999999,14.4,9.38,13.2,0.7095310136157339,0.9166666666666666
50,19.380000000000003,31.6,13.34,23.2,0.6883384932920535,0.7341772151898733
51,15.419999999999998,13.4,6.28,23.6,0.40726329442282755,1.7611940298507462
52,17.619999999999997,27.6,12.38,11.0,0.7026106696935303,0.39855072463768115
53,19.36,26.2,4.4399999999999995,11.8,0.2293388429752066,0.450381679389313
54,22.360000000000003,31.4,6.8199999999999985,28.8,0.30500894454382815,0.9171974522292994
55,9.22,10.2,5.4399999999999995,14.4,0.5900216919739696,1.411764705882353
56,13.26,13.2,6.040000000000001,9.4,0.4555052790346909,0.7121212121212122
57,13.14,18.4,13.579999999999998,15.0,1.0334855403348553,0.8152173913043479
58,10.5,17.4,8.98,13.0,0.8552380952380952,0.7471264367816093
59,11.76,16.6,12.02,12.2,1.022108843537415,0.7349397590361445
60,15.3,21.2,3.94,6.8,0.257516339869281,0.32075471698113206
61,6.36,10.6,6.4799999999999995,13.2,1.0188679245283017,1.2452830188679245
62,5.9799999999999995,8.6,8.819999999999999,17.0,1.4749163879598661,1.9767441860465118
63,13.9,18.6,6.719999999999999,8.6,0.48345323741007185,0.4623655913978494
64,17.04,11.4,8.16,13.4,0.47887323943661975,1.1754385964912282
65,11.719999999999999,14.6,16.32,26.6,1.3924914675767919,1.8219178082191783
66,12.32,19.6,12.440000000000001,42.0,1.0097402597402598,2.142857142857143
67,19.32,40.0,4.859999999999999,20.4,0.2515527950310559,0.51
68,7.26,18.6,4.6,9.2,0.6336088154269972,0.49462365591397844
69,8.76,38.2,9.66,12.4,1.1027397260273972,0.32460732984293195
70,9.459999999999999,29.2,7.06,14.8,0.7463002114164905,0.5068493150684932
71,6.859999999999999,8.0,8.48,10.0,1.2361516034985425,1.25
72,10.16,11.4,10.18,20.8,1.0019685039370079,1.8245614035087718
73,15.6,19.8,12.48,24.4,0.8,1.2323232323232323
74,7.56,13.8,7.359999999999999,13.0,0.9735449735449735,0.9420289855072463
75,6.5,11.6,3.7399999999999998,21.4,0.5753846153846154,1.8448275862068966
76,5.64,23.8,5.760000000000001,18.6,1.021276595744681,0.7815126050420168
77,4.220000000000001,14.8,14.5,27.6,3.436018957345971,1.864864864864865
78,16.46,28.6,11.52,9.0,0.6998784933171324,0.3146853146853147
79,13.580000000000002,16.2,9.9,13.0,0.7290132547864506,0.8024691358024691
80,17.6,18.6,8.200000000000001,16.2,0.46590909090909094,0.8709677419354838
81,12.459999999999999,31.8,6.633333333333333,11.4,0.5323702514713751,0.3584905660377358
